year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
2002,ISR,ISR2002,647362,315576,331786,313309,153212,160097,314131,153217,160914
2003,ISR,ISR2003,658220,320662,337558,314759,153988,160771,314454,153752,160702
2004,ISR,ISR2004,671957,327129,344828,316726,154868,161858,314926,154256,160670
2005,ISR,ISR2005,689175,335341,353834,319154,155885,163269,315985,154898,161087
2006,ISR,ISR2006,709271,345038,364233,322495,157310,165185,317997,155845,162152
2007,ISR,ISR2007,726328,353305,373023,327803,159677,168126,321046,157169,163877
2008,ISR,ISR2008,741917,360942,380975,335567,163313,172254,324273,158490,165783
2009,ISR,ISR2009,755324,367571,387753,344627,167651,176976,327896,159959,167937
2010,ISR,ISR2010,765718,372736,392982,353684,172026,181658,332487,161907,170580
2011,ISR,ISR2011,773490,376576,396914,361542,175828,185714,338369,164563,173806
2012,ISR,ISR2012,788359,383872,404487,370130,180057,190073,347031,168780,178251
2013,ISR,ISR2013,803439,391183,412256,376343,183088,193255,355867,173093,182774
2014,ISR,ISR2014,819254,398772,420482,381196,185424,195772,364003,177040,186963
2015,ISR,ISR2015,836653,407068,429585,385962,187704,198258,371084,180456,190628
2016,ISR,ISR2016,855888,416217,439671,391587,190397,201190,376871,183221,193650
2017,ISR,ISR2017,874269,425193,449076,397922,193529,204393,381890,185706,196184
2018,ISR,ISR2018,894286,434951,459335,405732,197350,208382,386990,188228,198762
2019,ISR,ISR2019,915685,445370,470315,414510,201626,212884,392757,191069,201688
2020,ISR,ISR2020,937776,456125,481651,423343,205924,217419,399282,194264,205018
2021,ISR,ISR2021,959237,466579,492658,431962,210114,221848,406781,197911,208870
2022,ISR,ISR2022,979112,476299,502813,442233,215121,227112,415879,202357,213522
1980,ITA,ITA1980,4407922,2148675,2259247,2751584,1344182,1407402,4568272,2238318,2329954
1981,ITA,ITA1981,4342945,2115671,2227274,2737472,1336724,1400748,4617064,2260474,2356590
1982,ITA,ITA1982,4265243,2078126,2187117,2722001,1329318,1392683,4635024,2269547,2365477
1983,ITA,ITA1983,4162392,2027991,2134401,2702073,1319375,1382698,4628554,2266452,2362102
1984,ITA,ITA1984,4031864,1964245,2067619,2676485,1306517,1369968,4610453,2257257,2353196
1985,ITA,ITA1985,3877663,1889079,1988584,2642689,1289684,1353005,4588568,2245957,2342611
1986,ITA,ITA1986,3713331,1809198,1904133,2593137,1265349,1327788,4560778,2231831,2328947
1987,ITA,ITA1987,3560670,1734539,1826131,2516240,1227796,1288444,4523997,2213361,2310636
1988,ITA,ITA1988,3419909,1665643,1754266,2422773,1182260,1240513,4476267,2189786,2286481
1989,ITA,ITA1989,3296815,1605268,1691547,2321515,1132915,1188600,4407405,2156063,2251342
1990,ITA,ITA1990,3193507,1554401,1639106,2220212,1083438,1136774,4311590,2109196,2202394
1991,ITA,ITA1991,3104437,1510366,1594071,2125274,1036893,1088381,4190717,2049963,2140754
1992,ITA,ITA1992,3024336,1470770,1553566,2048424,999080,1049344,4040471,1976855,2063616
1993,ITA,ITA1993,2959238,1438486,1520752,1983785,967069,1016716,3879644,1898082,1981562
1994,ITA,ITA1994,2909500,1413834,1495666,1924122,937438,986684,3722663,1820762,1901901
1995,ITA,ITA1995,2871829,1395317,1476512,1866225,908704,957521,3577953,1749240,1828713
1996,ITA,ITA1996,2839759,1379772,1459987,1814493,883107,931386,3443501,1682680,1760821
1997,ITA,ITA1997,2808247,1364685,1443562,1776127,864193,911934,3319354,1621679,1697675
1998,ITA,ITA1998,2777948,1350577,1427371,1744507,848779,895728,3210347,1567907,1642440
1999,ITA,ITA1999,2750976,1338282,1412694,1716994,835440,881554,3117003,1521488,1595515
2000,ITA,ITA2000,2729795,1328700,1401095,1693693,824029,869664,3039390,1482277,1557113
2001,ITA,ITA2001,2715686,1322239,1393447,1676201,815273,860928,2978743,1450888,1527855
2002,ITA,ITA2002,2713010,1321269,1391741,1668044,811483,856561,2933091,1427972,1505119
2003,ITA,ITA2003,2713082,1321009,1392073,1665488,810133,855355,2902620,1412196,1490424
2004,ITA,ITA2004,2712425,1320127,1392298,1666994,810676,856318,2883393,1401875,1481518
2005,ITA,ITA2005,2709181,1318244,1390937,1670100,812182,857918,2869640,1394605,1475035
2006,ITA,ITA2006,2706108,1317137,1388971,1670517,812711,857806,2858648,1389394,1469254
2007,ITA,ITA2007,2708742,1317364,1391378,1668032,810724,857308,2863832,1391591,1472241
2008,ITA,ITA2008,2714052,1319643,1394409,1660486,806642,853844,2864816,1391665,1473151
2009,ITA,ITA2009,2724229,1324666,1399563,1651325,802128,849197,2860681,1389069,1471612
2010,ITA,ITA2010,2740115,1332345,1407770,1643643,798420,845223,2852231,1383916,1468315
2011,ITA,ITA2011,2758482,1340790,1417692,1640146,796520,843626,2840871,1376836,1464035
2012,ITA,ITA2012,2782782,1351808,1430974,1647453,798632,848821,2834143,1372779,1461364
2013,ITA,ITA2013,2807687,1363276,1444411,1660196,803431,856765,2826033,1366351,1459682
2014,ITA,ITA2014,2830080,1373519,1456561,1674395,809408,864987,2820001,1359693,1460308
2015,ITA,ITA2015,2845243,1380323,1464920,1686646,814993,871653,2817740,1354549,1463191
2016,ITA,ITA2016,2848185,1381504,1466681,1696578,819872,876706,2817925,1351285,1466640
2017,ITA,ITA2017,2848839,1382717,1466122,1709310,827394,881916,2834830,1362206,1472624
2018,ITA,ITA2018,2835379,1376671,1458708,1718304,832646,885658,2850316,1373018,1477298
2019,ITA,ITA2019,2807694,1363323,1444371,1723625,835949,887676,2862055,1381892,1480163
2020,ITA,ITA2020,2767967,1343785,1424182,1724748,837137,887611,2869581,1388113,1481468
2021,ITA,ITA2021,2721071,1320544,1400527,1719636,835022,884614,2874373,1392369,1482004
2022,ITA,ITA2022,2674449,1297678,1376771,1710101,830633,879468,2890281,1401949,1488332
1980,JAM,JAM1980,350506,172063,178443,168121,83165,84956,202730,101711,101019
1981,JAM,JAM1981,347833,170644,177189,168181,82760,85421,202210,101374,100836
1982,JAM,JAM1982,346956,170284,176672,170423,83651,86772,207310,103456,103854
1983,JAM,JAM1983,345352,169483,175869,171648,84206,87442,212374,105472,106902
1984,JAM,JAM1984,342634,168114,174520,172236,84542,87694,217015,107366,109649
1985,JAM,JAM1985,338486,166074,172412,172681,84837,87844,220760,109010,111750
1986,JAM,JAM1986,333160,163515,169645,172905,85023,87882,223320,110261,113059
1987,JAM,JAM1987,327723,161142,166581,169534,83517,86017,220598,109065,111533
1988,JAM,JAM1988,325592,160464,165128,165647,81803,83844,217818,107944,109874
1989,JAM,JAM1989,326555,161315,165240,161812,80125,81687,215181,106905,108276
1990,JAM,JAM1990,330114,163383,166731,158420,78629,79791,212485,105782,106703
1991,JAM,JAM1991,334873,165943,168930,155987,77547,78440,209619,104503,105116
1992,JAM,JAM1992,337888,167597,170291,154976,77094,77882,206752,103167,103585
1993,JAM,JAM1993,339668,168554,171114,155903,77563,78340,203489,101551,101938
1994,JAM,JAM1994,340133,168779,171354,158010,78607,79403,200834,100163,100671
1995,JAM,JAM1995,339318,168302,171016,160595,79900,80695,199781,99537,100244
1996,JAM,JAM1996,337676,167369,170307,163037,81131,81906,200570,99835,100735
1997,JAM,JAM1997,336695,166766,169929,163296,81357,81939,200397,99954,100443
1998,JAM,JAM1998,337167,166746,170421,163046,81245,81801,103756,51815,51941
1999,JAM,JAM1999,338639,167126,171513,162787,81089,81698,104685,52325,52360
2000,JAM,JAM2000,340605,167713,172892,163005,81176,81829,105222,52619,52603
2001,JAM,JAM2001,342545,168314,174231,163881,81604,82277,105457,52763,52694
2002,JAM,JAM2002,342941,167791,175150,164448,81171,83277,105477,52499,52978
2003,JAM,JAM2003,343513,167804,175709,165288,80944,84344,105994,52326,53668
2004,JAM,JAM2004,344078,168092,175986,166184,81003,85181,106835,52188,54647
2005,JAM,JAM2005,344382,168312,176070,166998,81302,85696,107764,52162,55602
2006,JAM,JAM2006,344072,168120,175952,167773,81745,86028,108615,52353,56262
2007,JAM,JAM2007,342112,167189,174923,169031,82631,86400,109515,53141,56374
2008,JAM,JAM2008,,,,,,,110486,53852,56634
2009,JAM,JAM2009,,,,,,,111546,54503,57043
2010,JAM,JAM2010,,,,,,,112580,55030,57550
2011,JAM,JAM2011,,,,,,,113272,55337,57935
2012,JAM,JAM2012,,,,,,,112892,55123,57769
2013,JAM,JAM2013,,,,,,,112627,54997,57630
2014,JAM,JAM2014,,,,,,,112017,54715,57302
2015,JAM,JAM2015,,,,,,,110326,53902,56424
2016,JAM,JAM2016,,,,,,,107598,52574,55024
2017,JAM,JAM2017,,,,,,,104016,50848,53168
2018,JAM,JAM2018,,,,,,,100672,49213,51459
2019,JAM,JAM2019,,,,,,,97634,47729,49905
2020,JAM,JAM2020,,,,,,,95190,46575,48615
2021,JAM,JAM2021,,,,,,,93406,45787,47619
2022,JAM,JAM2022,,,,,,,91556,44989,46567
1980,JPN,JPN1980,11586971,5651336,5935635,5177199,2525258,2651941,4960513,2417804,2542709
1981,JPN,JPN1981,11879941,5793004,6086937,5253658,2563653,2690005,5031054,2452743,2578311
1982,JPN,JPN1982,12095788,5896346,6199442,5386846,2628982,2757864,5113039,2493699,2619340
1983,JPN,JPN1983,12112675,5903357,6209318,5562867,2714666,2848201,5180911,2528066,2652845
1984,JPN,JPN1984,11922983,5810194,6112789,5759535,2810074,2949461,5257009,2566277,2690732
1985,JPN,JPN1985,11536312,5621309,5915003,5964586,2909401,3055185,5372603,2623231,2749372
1986,JPN,JPN1986,11021588,5370193,5651395,6140983,2994749,3146234,5546516,2707912,2838604
1987,JPN,JPN1987,10544247,5136967,5407280,6185609,3015866,3169743,5731210,2799170,2932040
1988,JPN,JPN1988,10145443,4942116,5203327,6075853,2961531,3114322,5940512,2900745,3039767
1989,JPN,JPN1989,9830855,4788371,5042484,5857999,2854838,3003161,6113568,2983389,3130179
1990,JPN,JPN1990,9603930,4677407,4926523,5589791,2723921,2865870,6176948,3012081,3164867
1991,JPN,JPN1991,9438874,4596587,4842287,5323502,2593948,2729554,6072815,2959800,3113015
1992,JPN,JPN1992,9253934,4506169,4747765,5114265,2491951,2622314,5860598,2856337,3004261
1993,JPN,JPN1993,9051599,4407223,4644376,4974078,2423365,2550713,5595488,2727290,2868198
1994,JPN,JPN1994,8840592,4304053,4536539,4876354,2375387,2500967,5341939,2603635,2738304
1995,JPN,JPN1995,8626655,4199545,4427110,4785476,2330830,2454646,5128977,2499646,2629331
1996,JPN,JPN1996,8414069,4095873,4318196,4681787,2280187,2401600,4983347,2428410,2554937
1997,JPN,JPN1997,8224638,4003160,4221478,4576688,2228619,2348069,4864552,2371386,2493166
1998,JPN,JPN1998,8041242,3913759,4127483,4470878,2176559,2294319,4768415,2324436,2443979
1999,JPN,JPN1999,7865543,3828305,4037238,4361915,2123258,2238657,4672867,2276957,2395910
2000,JPN,JPN2000,,,,,,,,,
2001,JPN,JPN2001,,,,,,,,,
2002,JPN,JPN2002,,,,,,,,,
2003,JPN,JPN2003,,,,,,,,,
2004,JPN,JPN2004,,,,,,,,,
2005,JPN,JPN2005,,,,,,,,,
2006,JPN,JPN2006,,,,,,,,,
2007,JPN,JPN2007,,,,,,,,,
2008,JPN,JPN2008,,,,,,,,,
2009,JPN,JPN2009,,,,,,,,,
2010,JPN,JPN2010,,,,,,,,,
2011,JPN,JPN2011,,,,,,,,,
2012,JPN,JPN2012,,,,,,,,,
2013,JPN,JPN2013,6784001,3301519,3482482,3556785,1731368,1825417,3612491,1758917,1853574
2014,JPN,JPN2014,6743624,3281898,3461726,3516009,1711514,1804495,3610619,1758038,1852581
2015,JPN,JPN2015,6716876,3268638,3448238,3469773,1688824,1780949,3598148,1751808,1846340
2016,JPN,JPN2016,6699677,3259719,3439958,3425331,1666824,1758507,3566128,1735847,1830281
2017,JPN,JPN2017,6684780,3252841,3431939,3397148,1653283,1743865,3523333,1715190,1808143
2018,JPN,JPN2018,6665366,3243602,3421764,3382612,1646322,1736290,3478901,1693639,1785262
2019,JPN,JPN2019,6640958,3231771,3409187,3374677,1642496,1732181,3441001,1675178,1765823
2020,JPN,JPN2020,6609350,3216229,3393121,3364687,1637553,1727134,3411703,1660791,1750912
2021,JPN,JPN2021,,,,,,,,,
2022,JPN,JPN2022,,,,,,,,,
1980,JEY,JEY1980,,,,,,,,,
1981,JEY,JEY1981,,,,,,,,,
1982,JEY,JEY1982,,,,,,,,,
1983,JEY,JEY1983,,,,,,,,,
1984,JEY,JEY1984,,,,,,,,,
1985,JEY,JEY1985,,,,,,,,,
1986,JEY,JEY1986,,,,,,,,,
1987,JEY,JEY1987,,,,,,,,,
1988,JEY,JEY1988,,,,,,,,,
1989,JEY,JEY1989,,,,,,,,,
1990,JEY,JEY1990,,,,,,,,,
1991,JEY,JEY1991,,,,,,,,,
1992,JEY,JEY1992,,,,,,,,,
1993,JEY,JEY1993,,,,,,,,,
1994,JEY,JEY1994,,,,,,,,,
1995,JEY,JEY1995,,,,,,,,,
1996,JEY,JEY1996,,,,,,,,,
1997,JEY,JEY1997,,,,,,,,,
1998,JEY,JEY1998,,,,,,,,,
1999,JEY,JEY1999,,,,,,,,,
2000,JEY,JEY2000,,,,,,,,,
2001,JEY,JEY2001,,,,,,,,,
2002,JEY,JEY2002,,,,,,,,,
2003,JEY,JEY2003,,,,,,,,,
2004,JEY,JEY2004,,,,,,,,,
2005,JEY,JEY2005,,,,,,,,,
2006,JEY,JEY2006,,,,,,,,,
2007,JEY,JEY2007,,,,,,,,,
2008,JEY,JEY2008,,,,,,,,,
2009,JEY,JEY2009,,,,,,,,,
2010,JEY,JEY2010,,,,,,,,,
2011,JEY,JEY2011,,,,,,,,,
2012,JEY,JEY2012,,,,,,,,,
2013,JEY,JEY2013,,,,,,,,,
2014,JEY,JEY2014,,,,,,,,,
2015,JEY,JEY2015,,,,,,,,,
2016,JEY,JEY2016,,,,,,,,,
2017,JEY,JEY2017,,,,,,,,,
2018,JEY,JEY2018,,,,,,,,,
2019,JEY,JEY2019,,,,,,,,,
2020,JEY,JEY2020,,,,,,,,,
2021,JEY,JEY2021,,,,,,,,,
2022,JEY,JEY2022,,,,,,,,,
1980,JOR,JOR1980,432740,205675,227065,232032,108850,123182,102568,47650,54918
1981,JOR,JOR1981,453457,214869,238588,243820,114048,129772,109331,50474,58857
1982,JOR,JOR1982,471844,222927,248917,253938,118150,135788,113234,52198,61036
1983,JOR,JOR1983,488298,230525,257773,266416,123246,143170,117632,54004,63628
1984,JOR,JOR1984,502587,237537,265050,280627,129297,151330,122618,55918,66700
1985,JOR,JOR1985,514631,243921,270710,295837,136176,159661,128471,58148,70323
1986,JOR,JOR1986,525191,250002,275189,310743,143351,167392,135426,61026,74400
1987,JOR,JOR1987,538670,257559,281111,324222,150512,173710,142774,64778,77996
1988,JOR,JOR1988,555531,266722,288809,335995,157008,178987,150571,68875,81696
1989,JOR,JOR1989,577017,277915,299102,346165,162879,183286,158920,73262,85658
1990,JOR,JOR1990,604704,291698,313006,355525,168471,187054,167451,77757,89694
1991,JOR,JOR1991,638800,308090,330710,366210,174685,191525,175064,81840,93224
1992,JOR,JOR1992,665028,321112,343916,380602,182562,198040,182549,86013,96536
1993,JOR,JOR1993,687899,332500,355399,397736,191457,206279,189251,89793,99458
1994,JOR,JOR1994,705324,341279,364045,416585,200970,215615,195059,93155,101904
1995,JOR,JOR1995,714831,346337,368494,435108,210286,224822,200100,96119,103981
1996,JOR,JOR1996,716570,347761,368809,450092,218000,232092,205647,99222,106425
1997,JOR,JOR1997,728911,353475,375436,463952,224499,239453,212931,102725,110206
1998,JOR,JOR1998,740511,359159,381352,472409,228531,243878,220182,106217,113965
1999,JOR,JOR1999,752200,365104,387096,476157,230378,245779,226919,109502,117417
2000,JOR,JOR2000,765098,371686,393412,476978,230823,246155,232653,112292,120361
2001,JOR,JOR2001,779234,378782,400452,477664,231169,246495,235936,113864,122072
2002,JOR,JOR2002,791329,384972,406357,479161,232095,247066,235960,113965,121995
2003,JOR,JOR2003,802966,390762,412204,483517,234358,249159,235598,113850,121748
2004,JOR,JOR2004,815596,396970,418626,491328,238320,253008,236188,114204,121984
2005,JOR,JOR2005,830641,404433,426208,502817,244164,258653,238482,115442,123040
2006,JOR,JOR2006,848823,413588,435235,517180,251544,265636,243623,118145,125478
2007,JOR,JOR2007,877197,428084,449113,534175,260370,273805,251432,122255,129177
2008,JOR,JOR2008,912232,446096,466136,553971,270670,283301,261284,127420,133864
2009,JOR,JOR2009,953486,467324,486162,576389,282312,294077,272486,133282,139204
2010,JOR,JOR2010,1000550,491464,509086,601325,295184,306141,284923,139748,145175
2011,JOR,JOR2011,1052443,517923,534520,628902,309328,319574,298098,146549,151549
2012,JOR,JOR2012,1110511,547355,563156,662621,326554,336067,313779,154625,159154
2013,JOR,JOR2013,1171720,578213,593507,699298,345198,354100,330281,163054,167227
2014,JOR,JOR2014,1232464,608696,623768,736894,364236,372658,346763,171409,175354
2015,JOR,JOR2015,1288450,636659,651791,772578,382244,390334,362343,179259,183084
2016,JOR,JOR2016,1336136,660369,675767,804487,398271,406216,376987,186621,190366
2017,JOR,JOR2017,1370062,676997,693065,829972,411062,418910,389359,192882,196477
2018,JOR,JOR2018,1392091,687392,704699,851550,421759,429791,399821,198136,201685
2019,JOR,JOR2019,1402461,691709,710752,869472,430512,438960,407922,202148,205774
2020,JOR,JOR2020,1401607,690216,711391,883592,437282,446310,414348,205274,209074
2021,JOR,JOR2021,1390703,683582,707121,893304,441763,451541,420014,207975,212039
2022,JOR,JOR2022,1371951,672982,698969,897989,443579,454410,424896,210248,214648
1980,KAZ,KAZ1980,923454,453925,469529,1515912,750378,765534,643711,317874,325837
1981,KAZ,KAZ1981,944920,462950,481970,1498663,741235,757428,623699,308347,315352
1982,KAZ,KAZ1982,958507,468575,489932,1490600,735749,754851,608153,300807,307346
1983,KAZ,KAZ1983,969144,473265,495879,1497550,737283,760267,589481,291711,297770
1984,KAZ,KAZ1984,973509,475434,498075,1518702,745715,772987,571859,282903,288956
1985,KAZ,KAZ1985,973687,475879,497808,1545474,757166,788308,565264,279076,286188
1986,KAZ,KAZ1986,973984,476392,497592,1567623,766884,800739,572661,281804,290857
1987,KAZ,KAZ1987,978163,478901,499262,1565302,763975,801327,581494,285022,296472
1988,KAZ,KAZ1988,986453,483325,503128,1562787,761949,800838,588245,286805,301440
1989,KAZ,KAZ1989,996292,488124,508168,1563969,763090,800879,591987,286991,304996
1990,KAZ,KAZ1990,1005241,492330,512911,1570515,767844,802671,591331,285735,305596
1991,KAZ,KAZ1991,1011050,495264,515786,1580333,774425,805908,589185,284957,304228
1992,KAZ,KAZ1992,1007461,492763,514698,1577726,774001,803725,590604,287467,303137
1993,KAZ,KAZ1993,1007845,492738,515107,1570733,770214,800519,591375,289534,301841
1994,KAZ,KAZ1994,1013583,496172,517411,1560575,764023,796552,590260,290315,299945
1995,KAZ,KAZ1995,1343177,658345,684832,1524223,746209,778014,576655,284042,292613
1996,KAZ,KAZ1996,1348571,662820,685751,1513504,739693,773811,572011,282111,289900
1997,KAZ,KAZ1997,1348762,664064,684698,1518865,741730,777135,569070,280024,289046
1998,KAZ,KAZ1998,1332443,656713,675730,1528020,746483,781537,565520,277314,288206
1999,KAZ,KAZ1999,1297018,639055,657963,1544641,755915,788726,561277,274090,287187
2000,KAZ,KAZ2000,1246292,612804,633488,1567604,769052,798552,560916,272832,288084
2001,KAZ,KAZ2001,1190692,583460,607232,1587704,780320,807384,570048,276917,293131
2002,KAZ,KAZ2002,1139695,557800,581895,1590570,784954,805616,589494,288133,301361
2003,KAZ,KAZ2003,1090923,532997,557926,1578484,780654,797830,610895,300653,310242
2004,KAZ,KAZ2004,1043620,509264,534356,1549849,766191,783658,632220,313219,319001
2005,KAZ,KAZ2005,998593,487347,511246,1506610,742778,763832,647893,322763,325130
2006,KAZ,KAZ2006,958776,468531,490245,1454619,714488,740131,648595,323770,324825
2007,KAZ,KAZ2007,922245,450929,471316,1413785,693714,720071,639619,318960,320659
2008,KAZ,KAZ2008,892775,436316,456459,1366074,669836,696238,626214,311373,314841
2009,KAZ,KAZ2009,877881,428578,449303,1308675,641459,667216,614499,304474,310025
2010,KAZ,KAZ2010,880753,429429,451324,1244477,609809,634668,601559,297001,304558
2011,KAZ,KAZ2011,897863,437285,460578,1182972,579190,603782,582476,287012,295464
2012,KAZ,KAZ2012,913472,444905,468567,1131235,552506,578729,549964,270569,279395
2013,KAZ,KAZ2013,944574,460140,484434,1096589,534457,562132,515897,253356,262541
2014,KAZ,KAZ2014,997279,485689,511590,1077357,524618,552739,481483,235643,245840
2015,KAZ,KAZ2015,1071324,521298,550026,1071854,522198,549656,450589,219571,231018
2016,KAZ,KAZ2016,1159186,563403,595783,1082843,528115,554728,429819,208818,221001
2017,KAZ,KAZ2017,1247382,605753,641629,1127322,549857,577465,421001,204612,216389
2018,KAZ,KAZ2018,1329375,645323,684052,1194703,582412,612291,418444,203683,214761
2019,KAZ,KAZ2019,1400239,679770,720469,1285587,626016,659571,417241,203478,213763
2020,KAZ,KAZ2020,1508234,732712,775522,1502945,730173,772772,448101,218803,229298
2021,KAZ,KAZ2021,1545325,750983,794342,1604307,779067,825240,486995,237351,249644
2022,KAZ,KAZ2022,1577417,766624,810793,1697205,824252,872953,533233,259468,273765
1980,KEN,KEN1980,3025458,1511971,1513487,1233649,618164,615485,1427706,716920,710786
1981,KEN,KEN1981,3159467,1578055,1581412,1284640,643407,641233,1482531,744260,738271
1982,KEN,KEN1982,3295836,1645199,1650637,1340790,671184,669606,1540001,772767,767234
1983,KEN,KEN1983,3432731,1712573,1720158,1401449,701177,700272,1601245,803037,798208
1984,KEN,KEN1984,3568574,1779475,1789099,1465736,732944,732792,1667767,835886,831881
1985,KEN,KEN1985,3702411,1845522,1856889,1532110,765728,766382,1740350,871738,868612
1986,KEN,KEN1986,3844698,1915495,1929203,1596873,797714,799159,1815933,909243,906690
1987,KEN,KEN1987,3992433,1988228,2004205,1662214,829942,832272,1897638,949734,947904
1988,KEN,KEN1988,4143257,2062644,2080613,1728783,862771,866012,1983251,992099,991152
1989,KEN,KEN1989,4294872,2137706,2157166,1221789,609316,612473,2162997,1080705,1082292
1990,KEN,KEN1990,4443506,2211620,2231886,1269016,632662,636354,2253155,1125284,1127871
1991,KEN,KEN1991,4592309,2285419,2306890,1318167,657035,661132,2343739,1170279,1173460
1992,KEN,KEN1992,4738022,2357874,2380148,1370840,683222,687618,2437666,1216895,1220771
1993,KEN,KEN1993,4874722,2426087,2448635,1424308,709846,714462,2534802,1265113,1269689
1994,KEN,KEN1994,4994034,2485936,2508098,1475646,735424,740222,2632943,1313901,1319042
1995,KEN,KEN1995,5090589,2534743,2555846,1522941,759040,763901,2729990,1362259,1367731
1996,KEN,KEN1996,5205242,2592681,2612561,1571556,783507,788049,2834625,1414764,1419861
1997,KEN,KEN1997,5287776,2634642,2653134,1612759,804427,808332,2931750,1463566,1468184
1998,KEN,KEN1998,5341531,2662152,2679379,1650192,823534,826658,3021454,1508719,1512735
1999,KEN,KEN1999,5374859,2679198,2695661,1690104,843856,846248,3107313,1552038,1555275
2000,KEN,KEN2000,5402935,2693257,2709678,1729065,863638,865427,3192356,1595042,1597314
2001,KEN,KEN2001,5454878,2719619,2735259,1745702,872387,873315,3266292,1633262,1633030
2002,KEN,KEN2002,5556924,2770506,2786418,1751199,875393,875806,3342160,1672146,1670014
2003,KEN,KEN2003,5707369,2845106,2862263,1756231,878061,878170,3408746,1706057,1702689
2004,KEN,KEN2004,5899889,2940373,2959516,1762044,881070,880974,3455781,1729977,1725804
2005,KEN,KEN2005,6115685,3047092,3068593,1772002,886093,885909,3481144,1742967,1738177
2006,KEN,KEN2006,6332689,3153639,3179050,1810643,905138,905505,3487036,1746447,1740589
2007,KEN,KEN2007,6532973,3251702,3281271,1875966,937286,938680,3499052,1752487,1746565
2008,KEN,KEN2008,6715377,3340776,3374601,1950396,973892,976504,3539489,1772241,1767248
2009,KEN,KEN2009,6880906,3421374,3459532,2026223,1011131,1015092,3619228,1811224,1808004
2010,KEN,KEN2010,7034238,3495848,3538390,2103570,1049064,1054506,3738621,1869726,1868895
2011,KEN,KEN2011,7190253,3571480,3618773,2166220,1079654,1086566,3877483,1938064,1939419
2012,KEN,KEN2012,7359982,3653743,3706239,2220855,1106084,1114771,4029099,2012419,2016680
2013,KEN,KEN2013,7537309,3739842,3797467,2274500,1131923,1142577,4174709,2083484,2091225
2014,KEN,KEN2014,7714172,3826153,3888019,2328655,1158030,1170625,4308355,2148435,2159920
2015,KEN,KEN2015,7880172,3907862,3972310,2381967,1183801,1198166,4428260,2206515,2221745
2016,KEN,KEN2016,8032966,3982562,4050404,2442234,1212944,1229290,4536708,2258785,2277923
2017,KEN,KEN2017,8154572,4042919,4111653,2507374,1244646,1262728,4642844,2310041,2332803
2018,KEN,KEN2018,8242448,4087627,4154821,2571329,1275866,1295463,4755071,2364427,2390644
2019,KEN,KEN2019,8295076,4115704,4179372,2632364,1305567,1326797,4874306,2422295,2452011
2020,KEN,KEN2020,8318181,4129470,4188711,2687620,1332459,1355161,4999110,2482872,2516238
2021,KEN,KEN2021,8345812,4144871,4200941,2725942,1351794,1374148,5127443,2545593,2581850
2022,KEN,KEN2022,8359915,4152061,4207854,2745912,1362514,1383398,5245661,2603258,2642403
1980,KIR,KIR1980,10064,4966,5098,4473,2221,2252,4329,2171,2158
1981,KIR,KIR1981,9932,4903,5029,4493,2231,2262,4291,2153,2138
1982,KIR,KIR1982,9881,4870,5011,4531,2251,2280,4306,2160,2146
1983,KIR,KIR1983,9957,4900,5057,4504,2236,2268,4406,2208,2198
1984,KIR,KIR1984,10175,5001,5174,4388,2174,2214,4560,2284,2276
1985,KIR,KIR1985,10542,5185,5357,4197,2070,2127,4681,2345,2336
1986,KIR,KIR1986,10975,5393,5582,3981,1954,2027,4579,2290,2289
1987,KIR,KIR1987,11435,5618,5817,3873,1896,1977,4365,2177,2188
1988,KIR,KIR1988,11854,5820,6034,3928,1919,2009,4099,2035,2064
1989,KIR,KIR1989,12228,6007,6221,4094,1995,2099,3867,1909,1958
1990,KIR,KIR1990,12556,6179,6377,4301,2087,2214,3736,1833,1903
1991,KIR,KIR1991,12930,6385,6545,4494,2185,2309,3753,1841,1912
1992,KIR,KIR1992,13305,6564,6741,4673,2278,2395,3893,1910,1983
1993,KIR,KIR1993,13684,6728,6956,4825,2360,2465,4091,2005,2086
1994,KIR,KIR1994,14053,6876,7177,4967,2439,2528,4292,2102,2190
1995,KIR,KIR1995,14395,7003,7392,5121,2522,2599,4488,2200,2288
1996,KIR,KIR1996,14699,7131,7568,5280,2617,2663,4618,2269,2349
1997,KIR,KIR1997,14942,7223,7719,5461,2718,2743,4752,2350,2402
1998,KIR,KIR1998,15132,7295,7837,5645,2809,2836,4926,2457,2469
1999,KIR,KIR1999,13216,6341,6875,6016,2950,3066,5394,2712,2682
2000,KIR,KIR2000,13296,6366,6930,6178,3009,3169,5606,2813,2793
2001,KIR,KIR2001,13301,6376,6925,6362,3084,3278,5773,2869,2904
2002,KIR,KIR2002,13391,6439,6952,6505,3146,3359,6018,2967,3051
2003,KIR,KIR2003,13600,6576,7024,6550,3162,3388,6310,3094,3216
2004,KIR,KIR2004,13953,6793,7160,6465,3115,3350,6551,3201,3350
2005,KIR,KIR2005,14413,7065,7348,6313,3033,3280,6629,3231,3398
2006,KIR,KIR2006,14862,7308,7554,6414,3093,3321,6577,3198,3379
2007,KIR,KIR2007,14919,7331,7588,6644,3225,3419,6465,3139,3326
